Date.Time,TIMESTAMP_START,TIMESTAMP_END,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,RH,SW_DIF,SW_OUT,LW_OUT,CO2_F_MDS,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,G_F_MDS,LE_F_MDS,LE_RANDUNC,H_F_MDS,H_RANDUNC,NIGHT,NEE_VUT_REF,NEE_VUT_REF_JOINTUNC,RECO_NT_VUT_REF,GPP_NT_VUT_REF
22/04/2016 13:00:00,201604221230,201604221300,9.75,795.38,274.05,5.861,96.123,0,1.989,51.48,146.77,79.31,380.45,432.604,8.63,6.57,6.56,5.76,5.935,39.825,39.12,44.66,9.66,72.2359,27.565,333.385,63.0898,0,-4.42217,2.25327,4.3633,8.78547
22/04/2016 13:30:00,201604221300,201604221330,10.06,813.28,275.03,6.122,96.097,0,2.03,50.36,161.87,79.45,380.71,431.583,8.52,6.71,6.615,5.76,5.935,39.735,39.1,44.66,9.228,137.391,38.2967,329.851,61.6324,0,-4.42217,2.84784,4.42961,8.85178
22/04/2016 14:00:00,201604221330,201604221400,10.61,728.2,277.29,6.598,96.06,0,2.223,48.43,205.7,68.46,382.66,430.64,8.375,6.795,6.66,5.745,5.935,39.7,39.05,44.66,9.502,42.4582,40.3725,260.415,64.6602,0,1.14204,2.25127,4.54707,3.40503
22/04/2016 14:30:00,201604221400,201604221430,10.53,610.62,277.09,6.823,96.024,0,1.968,46.39,206.53,58.53,377.81,429.29,8.34,6.85,6.72,5.75,5.94,39.755,39.05,44.66,9.568,64.1885,27.9612,379.486,162.749,0,-0.43408,2.09277,4.53118,4.96526
22/04/2016 15:00:00,201604221430,201604221500,11,722.66,273.88,7.725,95.991,0,2.136,41.17,161.1,66.49,381.76,428.404,8.4,6.9,6.75,5.745,5.94,39.74,38.98,44.66,9.594,114.47,37.4114,381.019,67.1075,0,-2.78033,2.02736,4.63228,7.41261
22/04/2016 15:30:00,201604221500,201604221530,11.47,666.09,270.57,8.772,95.946,0,2.49,35.25,118.63,60.64,381.71,427.558,8.52,6.965,6.8,5.75,5.935,39.705,38.98,44.58,9.06,18.8656,19.4224,257.332,64.0023,0,-2.25462,1.7459,4.73394,6.98856
22/04/2016 16:00:00,201604221530,201604221600,11.52,609.44,268.23,9.092,95.91,0,2.094,33.11,106.83,54.95,379.4,427.005,8.425,7.015,6.825,5.755,5.945,39.66,38.93,44.58,7.83,66.5237,27.565,315.492,61.6324,0,-4.04373,3.57437,4.74391,8.78764
22/04/2016 16:30:00,201604221600,201604221630,12.16,547.27,275.62,9.719,95.886,0,2.99,31.45,177,49.03,380.15,426.163,8.48,7.045,6.86,5.755,5.935,39.623,38.91,44.58,7.5,72.4334,26.3444,250.807,53.4069,0,0.03526,1.2637,4.8809,4.84564
22/04/2016 17:00:00,201604221630,201604221700,11.78,423.2,279.02,9.761,95.869,0,3.03,29.41,168.33,38.24,375.33,425.804,8.37,7.06,6.875,5.765,5.935,39.688,38.91,44.58,7.036,37.0477,22.4639,113.832,35.3637,0,1.88423,0.982866,4.79824,2.91401
22/04/2016 17:30:00,201604221700,201604221730,11.26,147.59,297.38,9.333,95.854,0,1.764,30.14,153.77,14.37,370.55,425.721,8.22,7.05,6.905,5.77,5.935,39.708,38.84,44.58,5.742,17.2469,16.678,89.4603,22.7035,0,1.46304,1.05698,4.68595,3.22292
22/04/2016 18:00:00,201604221730,201604221800,11.07,133.94,311.97,8.219,95.844,0,2.519,37.7,134.5,14.69,370.41,425.541,8.18,7.03,6.935,5.77,5.935,39.557,38.84,44.58,5.048,22.0045,20.841,58.9786,26.7619,0,2.10633,1.00414,4.64462,2.53829
22/04/2016 18:30:00,201604221800,201604221830,10.65,106.87,305.73,7.733,95.825,0,2.477,39.72,112.77,11.98,367.67,425.766,8.12,7.01,6.94,5.78,5.935,39.565,38.84,44.58,4.59,44.9372,17.8097,17.3438,26.7528,0,2.88977,1.42522,4.55447,1.6647
22/04/2016 19:00:00,201604221830,201604221900,10.26,49.55,303.38,7.777,95.797,0,2.038,37.78,56.15,6.26,364.01,426.581,7.98,6.99,6.97,5.79,5.94,39.587,38.84,44.58,3.674,20.9348,16.0473,-8.3993,32.3404,0,6.12031,2.02775,4.47112,-1.64919
22/04/2016 19:30:00,201604221900,201604221930,9.77,15.18,303.17,7.285,95.782,0,2.265,39.77,19.27,3,360.66,427.735,7.815,6.95,6.995,5.8,5.945,39.69,38.84,44.58,2.63,1.86059,11.9262,-21.4022,17.7881,0,3.99685,1.01297,4.36715,0.370297
