Date/Time;TIMESTAMP_START;TIMESTAMP_END;TA_F;SW_IN_POT;SW_IN_F;LW_IN_F;VPD_F;PA_F;P_F;WS_F;WD;USTAR;RH;PPFD_IN;PPFD_OUT;SW_DIF;SW_OUT;LW_OUT;CO2;TS_F_MDS_1;TS_F_MDS_2;TS_F_MDS_3;TS_F_MDS_4;TS_F_MDS_5;SWC_F_MDS_1;SWC_F_MDS_2;SWC_F_MDS_3;G_F_MDS;LE_F_MDS;LE_RANDUNC;H_F_MDS;H_RANDUNC;NIGHT;NEE_VUT_REF;NEE_VUT_REF_JOINTUNC;RECO_NT_VUT_REF;GPP_NT_VUT_REF;e(sat);ea
01.06.2016 00:00;201605312330;201606010000;15,79;0;0;370,2;5,025;95,648;0;2,314;266,53;0,262219;72;0;0;0;0;392,14;413,586;13,345;12,17;12,21;10,155;9,36;36,16;38,12;41,45;4,49;-0,52675;62,9645;-17,2489;13,4354;1;6,78679;2,50393;5,37548;-1,41131;1,790440655;1,287940655
01.06.2016 00:30;201606010000;201606010030;15,55;0;0;371;4,736;95,641;0;2,133;271,97;0,270653;73,2;0;0;0;0;391,15;416,352;13,305;12,145;12,235;10,16;9,36;36,127;38,07;41,45;4,302;33,7206;21,9628;-20,0953;19,9166;1;2,87107;4,57956;5,36189;2,49082;1,763149583;1,289549583
01.06.2016 01:00;201606010030;201606010100;15,24;0;0;377,6;3,886;95,633;0;2,05;289,27;0,244756;77,57;0;0;0,72;0;387,78;419,47;13,26;12,12;12,18;10,165;9,37;36,142;38,07;41,45;4,094;-5,15503;115,52;-27,9041;20,2527;1;2,87107;4,47973;5,33281;2,46174;1,728440351;1,339840351
01.06.2016 01:30;201606010100;201606010130;15,18;0;0;377,02;3,262;95,613;0;2,498;281,27;0,376471;81,1;0;0;0;0;387,98;420,092;13,215;12,095;12,205;10,17;9,37;36,14;38,07;41,43;3,87;-12,1465;142,688;-33,6152;19,5004;1;2,87107;4,61163;5,35644;2,48537;1,721792285;1,395592285
01.06.2016 02:00;201606010130;201606010200;15,03;0;0;372,73;3,099;95,606;0;2,863;276,63;0,42059;81,87;0;0;0;0;388,4;421,93;13,175;12,075;12,23;10,18;9,38;36,05;38,07;41,38;3,77;-22,8057;148,759;-31,0615;19,1285;1;2,87107;6,1369;5,36051;2,48944;1,705270406;1,395370406
01.06.2016 02:30;201606010200;201606010230;14,76;0;0;366,77;2,973;95,595;0;2,215;273,2;0,357136;82,3;0;0;0;0;387,17;423,73;13,14;12,05;12,235;10,185;9,38;36,13;38,07;41,38;3,716;32,6467;22,3261;-17,6656;19,0669;1;2,87107;4,75987;5,33823;2,46716;1,675882135;1,378582135
01.06.2016 03:00;201606010230;201606010300;14,56;0;0;373,04;2,968;95,611;0;2,078;284;0,345634;82,1;0;0;0;0;386,57;427,391;13,105;12,03;12,2;10,195;9,385;36,07;38,07;41,38;3,586;32,7206;22,2816;-7,97977;9,0696;1;2,87107;5,05593;5,33048;2,45941;1,654401195;1,357601195
01.06.2016 03:30;201606010300;201606010330;14,36;0;0;361,07;2,264;95,593;0;2,176;282,77;0,302858;86,17;0;0;0;0;384,25;428,054;13,07;12,005;12,175;10,2;9,39;36,03;38,02;41,38;3,476;33,9753;22,2816;-9,16218;9,3713;1;2,87107;4,49255;5,32222;2,45115;1,633162851;1,406762851
01.06.2016 04:00;201606010330;201606010400;14,32;0;0;367,56;1,605;95,57;0;1,956;285,73;0,209563;90,17;0;0;0;0;383,93;430,025;13,035;11,985;12,215;10,2;9,39;36,055;38;41,38;3,346;33,9753;22,2816;-10,0033;9,59086;1;2,87107;4,49255;5,34865;2,47758;1,628944087;1,468444087
01.06.2016 04:30;201606010400;201606010430;13,97;9,94193;0;313,09;1,448;95,559;0;2,282;276,47;0,262063;90,93;3,23;0;2,78;0;379,81;435,657;13;11,965;12,175;10,205;9,4;36,13;38;41,38;3,22;-13,0251;110,401;-22,5017;14,7837;0;2,52257;4,35741;5,3064;2,43534;1,592436984;1,447636984
01.06.2016 05:00;201606010430;201606010500;13,75;88,7859;16,53;325,71;1,164;95,558;0;2,377;272,4;0,30422;92,6;38,08;1,13;20,89;4,1;379,68;433,889;12,955;11,94;12,16;10,215;9,4;36,108;38;41,38;3,024;-20,6481;115,101;-7,71589;11,514;0;1,98277;4,59176;5,2922;3,0509;1,569859959;1,453459959
01.06.2016 05:30;201606010500;201606010530;14,16;184,885;73,48;319,62;1,207;95,564;0;2,06;263,77;0,316141;92,53;134,02;6,35;54,16;25,83;382,26;433,514;12,925;11,915;12,18;10,215;9,405;36,145;38;41,38;2,954;11,8485;11,6072;8,54028;14,0102;0;-7,28097;5,15135;5,41825;13,1261;1,612164758;1,491464758
01.06.2016 06:00;201606010530;201606010600;14,57;284,511;91,92;319,77;1,565;95,585;0;2,038;267,23;0,27634;90,57;184,13;8,28;56,37;25,14;384,27;433,967;12,915;11,905;12,145;10,22;9,41;36,047;38;41,38;3,06;11,6506;14,1355;10,8474;17,4511;0;-1,29;3,30946;5,54577;8,98687;1,655469461;1,498969461
01.06.2016 06:30;201606010600;201606010630;14,14;385,961;60,29;334,38;1,21;95,601;0;1,887;260,9;0,24711;92,5;145,15;4,48;56,8;7,27;383,22;433,268;12,895;11,885;12,22;10,22;9,415;35,965;38;41,38;3,072;9,97077;12,8548;11,4501;15,0727;0;-7,70785;5,19145;5,48355;13,1914;1,610078072;1,489078072
01.06.2016 07:00;201606010630;201606010700;14,31;487,497;146,67;332,24;1,105;95,592;0;2,099;258,77;0,36018;93,23;315,95;11,09;110,03;25,37;386,32;432,178;12,89;11,865;12,19;10,23;9,415;36,028;38;41,38;3,184;35,9991;25,8895;45,6468;19,7429;0;-3,78364;4,1302;5,5573;12,5298;1,627890895;1,517390895
01.06.2016 07:30;201606010700;201606010730;14,89;587,383;187,01;326,64;1,631;95,594;0;2,016;270,03;0,352068;90,37;402,75;14,09;138,5;30,68;389,01;432,426;12,91;11,855;12,225;10,23;9,425;36,013;37,98;41,38;3,548;27,3869;28,6304;32,1454;19,3171;0;-6,29646;5,68379;5,72619;11,404;1,689975955;1,526875955
01.06.2016 08:00;201606010730;201606010800;14,85;683,91;194,61;333,95;1,6;95,595;0;2,577;255,17;0,389574;90,53;421,86;13,76;174,1;31,08;389,76;433,153;12,935;11,855;12,2;10,23;9,425;36;37,94;41,38;3,888;76,2728;21,2149;76,215;23,3081;0;-6,29646;6,36449;5,75286;11,4307;1,685628333;1,525628333
01.06.2016 08:30;201606010800;201606010830;15,57;775,426;387,82;347,42;2,49;95,598;0;2,411;252,93;0,437474;85,93;812,92;26,32;296,93;64,85;397,95;432,503;12,995;11,855;12,275;10,235;9,43;35,943;37,94;41,3;4,504;85,3139;24,2724;114,304;18,7609;0;-17,6372;5,22983;5,9577;23,8247;1,765409785;1,516409785
01.06.2016 09:00;201606010830;201606010900;16,08;860,365;382,66;358,72;3,296;95,599;0;1,829;259,2;0,470041;81,97;802,82;24,98;328,8;64,33;401,49;427,335;13,08;11,875;12,245;10,235;9,435;35,938;37,94;41,3;5,32;88,0856;30,8983;114,55;23,6746;0;-5,16001;7,93244;6,11557;11,2756;1,823912333;1,494312333
01.06.2016 09:30;201606010900;201606010930;16,64;937,274;316,36;372,01;4,333;95,594;0;2,413;276,97;0,443138;77,13;667,36;20,24;295,87;52,47;402,46;422,801;13,175;11,9;12,205;10,235;9,44;35,892;37,94;41,3;6,002;79,699;41,171;80,706;16,0641;0;-26,8938;8,50896;6,28733;33,1811;1,8901071;1,4568071
01.06.2016 10:00;201606010930;201606011000;16,7;1004,84;313,62;375,33;4,342;95,581;0;3,009;269,53;0,464844;77,17;665,29;20,04;302,07;53,51;403,18;420,056;13,24;11,93;12,245;10,23;9,445;35,862;37,92;41,25;6,374;58,4037;50,8034;70,4288;16,65;0;-19,7863;6,3776;6,34037;26,1267;1,897323073;1,463123073
01.06.2016 10:30;201606011000;201606011030;16,74;1061,9;377,78;372,11;4,194;95,57;0;3,404;267,3;0,594495;78;803,92;24,31;360,1;65,11;404,35;418,884;13,305;11,965;12,19;10,23;9,45;35,895;37,87;41,23;6,77;108,999;32,4917;114,6;38,154;0;-33,5337;8,79837;6,3887;39,9224;1,90214716;1,48274716
01.06.2016 11:00;201606011030;201606011100;16,83;1107,48;412,32;377,55;4,263;95,577;0;3,246;264,37;0,542808;77,77;893,06;26,05;389,07;69,2;405,31;416,763;13,39;11,995;12,19;10,235;9,455;35,852;37,85;41,23;7,268;84,3279;57,4399;97,4468;56,0554;0;-16,0329;4,42898;6,44938;22,4823;1,913040782;1,486740782
01.06.2016 11:30;201606011100;201606011130;17,11;1140,8;361,18;390,9;4,567;95,58;0;2,824;261,53;0,599076;76,6;772,99;22,78;336,63;61,96;406;415,453;13,46;12,035;12,155;10,23;9,455;35,788;37,8;41,18;7,626;130,913;38,1513;93,0021;31,1358;0;-19,6835;5,18188;6,55715;26,2406;1,947283429;1,490583429
01.06.2016 12:00;201606011130;201606011200;17,46;1161,3;444,16;388,04;5,009;95,572;0;2,752;283,97;0,608407;74,9;958,49;27,79;418,37;75,76;407,49;414,154;13,53;12,07;12,2;10,235;9,46;35,782;37,78;41,15;7,936;151,007;50,6621;148,722;60,5267;0;-31,7527;6,3413;6,6832;38,4359;1,990843175;1,489943175
01.06.2016 12:30;201606011200;201606011230;17,59;1168,62;524,56;385,53;5,13;95,571;0;2,432;278,43;0,661698;74,5;1127,08;32,47;477,6;86,06;410,32;414,231;13,61;12,105;12,175;10,235;9,465;35,695;37,73;41,15;8,334;171,137;32,585;223,704;48,8089;0;-22,9624;6,58761;6,75543;29,7178;2,007239156;1,494239156
01.06.2016 13:00;201606011230;201606011300;17,61;1162,63;435,27;379,8;4,956;95,567;0;2,545;267,77;0,637349;75,4;942,82;27,12;409,7;69,55;409,44;412,577;13,7;12,15;12,105;10,235;9,47;35,67;37,71;41,1;8,772;104,853;41,2441;172,828;49,401;0;-26,3122;2,28623;6,80042;33,1126;2,009772112;1,514172112
01.06.2016 13:30;201606011300;201606011330;17,61;1143,44;569,58;382,14;4,633;95,547;0;3,059;269,2;0,582797;77;1220;35,14;503,9;95,27;410,6;414,078;13,76;12,19;12,155;10,235;9,475;35,67;37,66;41,08;8,944;144,767;38,1513;150,09;45,5956;0;-19,5539;5,12987;6,84039;26,3943;2,009772112;1,546472112
01.06.2016 14:00;201606011330;201606011400;17,47;1111,38;358,18;386,12;4,367;95,534;0;3,056;274,4;0,483954;78,13;748,66;22,18;345,2;61,27;407,19;417,162;13,84;12,235;12,19;10,24;9,475;35,617;37,64;41,08;9,356;75,3659;70,0003;54,9531;50,0781;0;-6,47146;7,99953;6,84473;13,3162;1,992100214;1,555400214
01.06.2016 14:30;201606011400;201606011430;17,09;1066,99;378,3;388,89;3,503;95,515;0;2,481;280,53;0,654542;82,03;784,4;23,11;360,03;67,56;404,82;416,106;13,845;12,27;12,255;10,24;9,475;35,612;37,6;41;8,958;201,61;65,3797;97,3544;52,7427;0;-25,467;7,59211;6,78743;32,2544;1,944819791;1,594519791
01.06.2016 15:00;201606011430;201606011500;17,29;1011,03;450,54;393,6;3,133;95,5;0;2,544;274,5;0,608318;84,13;945,09;26,79;420,23;76,74;406,3;414,879;13,875;12,3;12,265;10,245;9,485;35,57;37,6;41;8,868;191,926;63,4731;96,1877;29,9875;0;-19,3621;5,12987;6,87799;26,2401;1,969579846;1,656279846
01.06.2016 15:30;201606011500;201606011530;17,57;944,471;368,66;396,19;3,671;95,474;0;2,712;281,37;0,425491;81,73;762,55;22,11;348,77;63,61;406,73;415,232;13,925;12,33;12,29;10,25;9,49;35,575;37,53;41;9,076;65,8492;40,074;39,2565;23,2002;0;-15,1095;4,93638;6,9899;26,346;2,004709004;1,637609004
01.06.2016 16:00;201606011530;201606011600;17,39;868,44;261,67;384,41;3,695;95,467;0;2,277;286,9;0,524286;81,4;543,58;15,83;253,63;44,99;404,96;412,952;13,925;12,36;12,35;10,25;9,49;35,498;37,53;41;8,768;105,537;35,4945;95,7762;30,3366;0;-19,1227;7,14376;6,98299;24,1385;1,982063391;1,612563391
01.06.2016 16:30;201606011600;201606011630;17,72;784,241;324,5;381,74;4,179;95,452;0;2,127;270,3;0,579727;79,4;681,93;19,5;310,73;51,92;408,52;412,483;13,935;12,375;12,365;10,26;9,495;35,453;37,53;41;8,582;87,7361;41,2075;73,7091;30,6187;0;-4,59782;6,25503;7,06346;11,6613;2,023753619;1,605853619
01.06.2016 17:00;201606011630;201606011700;17,51;693,314;183,81;386,1;4,07;95,451;0;2,488;262,97;0,494353;79,67;385,7;11,09;181,73;29,84;405,49;412,516;13,94;12,395;12,325;10,26;9,5;35,432;37,46;40,93;8,422;43,6895;29,842;59,0762;31,094;0;-10,8342;5,19671;7,00342;17,8376;1,997135346;1,590135346
01.06.2016 17:30;201606011700;201606011730;17,15;597,215;135,36;378,81;3,718;95,452;0;1,935;253,03;0,405381;81;288,45;8,28;132,97;22,54;403,11;413,596;13,92;12,4;12,355;10,265;9,5;35,432;37,46;40,93;8,042;23,0147;16,9362;22,97;24,2975;0;-6,63349;8,5184;6,90465;13,5381;1,952218932;1,580418932
01.06.2016 18:00;201606011730;201606011800;16,94;497,588;73,77;380,93;3,476;95,47;0,7;2,327;236,67;-9999;82;161,38;4,54;70,49;12,41;401,07;416,057;13,88;12,405;12,5;10,265;9,5;35,385;37,46;40,93;7,528;6,88551;13,4989;13,3208;17,5345;0;-4,05805;3,22168;6,84499;10,903;1,926429625;1,578829625
01.06.2016 18:30;201606011800;201606011830;16,34;396,139;37,17;389,43;2,398;95,48;0,6;2,463;227,53;0,283031;87,1;83,92;2,2;37,05;7,19;395,4;419,779;13,825;12,41;12,44;10,275;9,51;35,443;37,41;40,93;6,964;29,8519;23,4362;-9,55372;14,9786;0;-1,76569;4,81995;6,68496;8,45065;1,854387777;1,614587777
01.06.2016 19:00;201606011830;201606011900;15,73;294,603;41,15;386,47;1,275;95,472;0,1;2,821;220,33;0,404854;92,87;90,45;2,33;39,53;6,93;392,16;422,057;13,765;12,395;12,45;10,275;9,52;35,413;37,46;40,93;6,536;33,4019;22,651;-8,06036;17,1247;0;-2,49427;5,12329;6,52321;9,01748;1,783583302;1,656083302
01.06.2016 19:30;201606011900;201606011930;15,57;194,716;53,42;384,01;0,933;95,461;0;2,835;228,13;0,35065;94,73;114,57;2,88;53,03;8,54;391,83;423,518;13,725;12,385;12,49;10,28;9,525;35,425;37,71;41;6,248;3,01931;17,2295;-3,39862;15,4598;0;-3,29985;4,85099;6,47723;9,77708;1,765409785;1,672109785
01.06.2016 20:00;201606011930;201606012000;15,48;98,1896;68,37;380,33;0,744;95,462;0;3,479;221,73;-9999;95,77;135,67;3,61;72,54;12,18;391,58;424,716;13,695;12,37;12,39;10,29;9,53;35,395;37,94;41,03;5,978;-20,5781;18,2309;-18,5925;22,8305;0;-5,75506;5,02593;6,44924;12,2043;1,7552589;1,6808589
01.06.2016 20:30;201606012000;201606012030;15,26;14,6309;11,69;376,23;0,642;95,451;0;3,213;219,93;0,357234;96,3;26,25;0,47;14,95;1,53;389,42;427,975;13,67;12,36;12,385;10,295;9,535;35,435;38,14;41,08;5,814;-16,2011;14,9015;-19,5464;15,5669;0;2,73353;3,96583;6,38816;3,65463;1,730661384;1,666461384
01.06.2016 21:00;201606012030;201606012100;14,95;0;0;364,52;0,549;95,463;0;3,321;212,9;0,438744;96,77;5,64;0;1,35;0;387,55;428,882;13,625;12,35;12,465;10,3;9,53;35,345;38,28;41,08;5,472;39,8266;24,0804;-26,7939;14,3938;1;2,87107;4,19898;6,30439;3,43332;1,696515882;1,641615882
01.06.2016 21:30;201606012100;201606012130;14,7;0;0;349,02;0,468;95,487;0;3,475;215,77;0,3917;97,2;0;0;0;0;386,1;427,391;13,575;12,335;12,55;10,31;9,53;35,422;38,37;41,1;5,108;-9,38169;28,1914;-34,0989;14,6464;1;2,87107;4,20993;6,23612;3,36505;1,66941224;1,62261224
